PID,SMILES,HOMO,LUMO,S1,T1,TADF-likeness
86771770,C/C(=C\c1ccccc1)C(=O)Nn1c(C2CCCCC2)nc2ccccc2c1=O,-6.120384725446001,-1.7069701841865,3.9031,2.7617,55.75698852539063
6104094,CCCCCCOc1ccc(/C=C/c2nc(-c3ccc(C)cc3)cs2)cc1,-5.153836328470001,-1.5447903292885001,3.4154,2.0137,57.93632125854492
58540510,Cc1ccccc1CN1C(=O)/C(=C/c2ccc(C(=O)NCCN3CCCC3)cc2)Sc2ccccc21,-5.429487659026501,-1.9494236249819998,3.1158,2.2798,55.33382797241211
57319177,C[C@H](c1ccc(-c2ccccc2)cc1)N(C(=O)C(c1ccccc1)c1ccccc1)[C@H](CCCN)C(N)=O,-6.091540657293001,-0.8794719648160001,4.8156,3.2485,55.70372009277344
150117711,FC(F)(F)c1cccc(CN2CCCCc3ccccc32)c1,-5.119549983307,-0.687903814064,3.7918,3.4659,55.82183837890625
11587418,COc1ccc(-c2cc3ccc(N(C)C)cc3c(=O)[nH]2)cc1,-4.6713784715335,-0.7948445573105,3.5581,2.4667,56.16960906982422
42734359,COc1ccc(CCNC(=O)CCCSc2nnc(-c3ccccc3)n2-c2cccc(C)c2)cc1OC,-5.0017246860405,-1.1085918269369999,3.5929,3.2571,59.483489990234375
140302975,O=C(c1cn(-c2ncccn2)c2ccccc12)N1CCN(c2ccc(OCF)cc2)CC1,-4.971520048635,-1.54016439383,3.124,2.9401,59.4018440246582
56075965,O=C(/C=C/c1cccc2ccccc12)Nc1cccc(CN2CCOCC2)c1,-5.563095559622,-1.8789461377025,3.3483,2.2713,59.20170211791992
45536481,Cc1ccc(SCCC(=O)Nc2c3c(nn2-c2ccccc2)CCC3)cc1,-5.726908097623,-0.696067229579,4.4323,3.4521,55.11220550537109
134798602,CC(C)C(=O)Nc1cc(-c2ccncc2)nn1-c1ccccc1,-6.020246828462,-1.183695249675,4.3524,3.1358,59.342472076416016
24445179,O=C(c1ccc2ccccc2c1)N1CCN(CCOc2ccccc2)CC1,-5.8099028220255,-1.309411848606,4.1079,2.6919,59.59862518310547
15109582,O=C(OC(=O)c1ccc(-c2ccccc2)cc1)c1ccc(-c2ccccc2)cc1,-6.4074648377235,-1.9023479288455,4.0844,3.0078,58.06915664672852
133240501,CN(C)S(=O)(=O)c1ccc(OCCNC(=O)C2CN(S(=O)(=O)c3ccccc3)c3cc(C(C)(C)C)ccc3O2)cc1,-5.997389265020001,-1.286010057463,4.1606,3.5444,57.65910720825195
7402706,Cc1cc(C)c(NC(=O)CNC(=O)CSc2ccc3ccccc3c2)c(C)c1,-5.620239468227,-1.0734891402225,4.041,2.6918,55.84043884277344
57379315,CC[C@@H](CO)C1c2ccccc2N(C)c2ccccc21,-5.053698431486,-0.2070786402305,4.1696,3.364,55.439186096191406
21469508,COc1cc(OC)c(NC(=O)C(c2ccccc2)c2nnn(C/C=C(\C)CCC=C(C)C)n2)c(OC)c1,-5.231660889713,-0.332523125311,4.4459,3.5749,56.168678283691406
53740211,CCCCN(C)C(=O)CCCCCCCNC(=O)Cc1c(C)n(Cc2ccccc2)c2ccc(OC(C)=O)cc12,-5.3456765930725005,-0.37170751978300004,4.4459,3.1423,56.91300964355469
12251244,Nc1nc(-c2ccccc2)nn1-c1ccccc1,-5.641464348566,-0.837022204138,4.3733,3.0757,57.67190933227539
20809824,Cc1ccc(C#Cc2ccc([C@@H]3CC[C@@H]4CC(C)CC[C@@H]4C3)cc2F)cc1,-5.4945228692959995,-1.1866885020305,4.0069,2.6291,59.86659240722656
79142413,Cc1ccc2nc(Nc3ccccc3C)sc2c1,-5.2972403276835,-0.6269503115520001,4.1954,3.0812,59.48229598999024
53958798,COC(=O)c1ccc2nc(-c3cn(Cc4ccc(C#N)cc4)c4ccccc34)c(=O)n(C(C)CN)c2c1,-5.508128561821,-2.1662983638305002,3.0736,2.0694,56.15473937988281
